Sample number,epoch machine time (ns),Timestamp for frame capture.read  (ns),Timestamp LPMSB2 (s),"Quaternions [q0, q1, q2, q3] LPMS-B2","Euler [Roll, Pitch, Yaw] LPMSB2"
34,1661265471729103538,1661265471706900724,4013.44,"[-0.5006456971168518, 0.05565574765205383, 0.8621440529823303, -0.05444209277629852]","[-175.57354736328125, 60.37940979003906, 175.18882751464844]"
35,1661265471733168963,1661265471706900724,4013.4500000000003,"[-0.5008277893066406, 0.055400826036930084, 0.8621279001235962, -0.05327087268233299]","[-175.77906799316406, 60.39567947387695, 175.10354614257812]"
36,1661265471737768716,1661265471706900724,4013.46,"[-0.5008084774017334, 0.055477436631917953, 0.8621379137039185, -0.05321148410439491]","[-175.79986572265625, 60.393150329589844, 175.0812530517578]"
37,1661265471748178984,1661265471706900724,4013.4700000000003,"[-0.5007835626602173, 0.05550302565097809, 0.8621542453765869, -0.05315401032567024]","[-175.8142852783203, 60.3896598815918, 175.0694122314453]"
38,1661265471756543710,1661265471706900724,4013.48,"[-0.5007249116897583, 0.05550215020775795, 0.8621918559074402, -0.05309831723570824]","[-175.82518005371094, 60.38154602050781, 175.06312561035156]"
39,1661265471762767652,1661265471706900724,4013.4900000000002,"[-0.5007134675979614, 0.05548901483416557, 0.8622017502784729, -0.053059257566928864]","[-175.83143615722656, 60.37974166870117, 175.06121826171875]"
40,1661265471779145213,1661265471706900724,4013.5,"[-0.5009191036224365, 0.054432354867458344, 0.8621517419815063, -0.05302449315786362]","[-175.71572875976562, 60.401634216308594, 175.26913452148438]"
41,1661265471785246173,1661265471706900724,4013.51,"[-0.5008907914161682, 0.054449982941150665, 0.8621690273284912, -0.05299263074994087]","[-175.72412109375, 60.397796630859375, 175.26187133789062]"
42,1661265471794060713,1661265471706900724,4013.52,"[-0.5008563995361328, 0.05448681861162186, 0.8621885180473328, -0.05296226963400841]","[-175.7344207763672, 60.393253326416016, 175.2509307861328]"
43,1661265471804935104,1661265471706900724,4013.53,"[-0.5008161067962646, 0.05453769490122795, 0.8622108697891235, -0.05292746424674988]","[-175.7472381591797, 60.38797378540039, 175.23666381835938]"
44,1661265471812697386,1661265471808630220,4013.54,"[-0.5007703304290771, 0.05457477644085884, 0.8622386455535889, -0.052870262414216995]","[-175.7628936767578, 60.381771087646484, 175.22254943847656]"
45,1661265471826519933,1661265471808630220,4013.55,"[-0.5008708238601685, 0.05421974137425423, 0.862252950668335, -0.05204405263066292]","[-175.88739013671875, 60.38878631591797, 175.197509765625]"
46,1661265471832765385,1661265471808630220,4013.56,"[-0.5007951259613037, 0.05423550680279732, 0.8623014092445374, -0.05195227637887001]","[-175.9073944091797, 60.37832260131836, 175.1836700439453]"
47,1661265471844022978,1661265471808630220,4013.57,"[-0.500727117061615, 0.05425289645791054, 0.8623450994491577, -0.051865026354789734]","[-175.9267120361328, 60.36890411376953, 175.1700439453125]"
48,1661265471852749046,1661265471808630220,4013.58,"[-0.5006351470947266, 0.05428657680749893, 0.8624011278152466, -0.05178586021065712]","[-175.9462127685547, 60.35642623901367, 175.15411376953125]"
49,1661265471863600537,1661265471808630220,4013.59,"[-0.5005133152008057, 0.05431399494409561, 0.8624755144119263, -0.051695484668016434]","[-175.9671173095703, 60.33991622924805, 175.13815307617188]"
50,1661265471876506340,1661265471808630220,4013.6,"[-0.5004996061325073, 0.05410053953528404, 0.8625452518463135, -0.05088181048631668]","[-176.1051025390625, 60.33251190185547, 175.08636474609375]"
51,1661265471882766291,1661265471808630220,4013.61,"[-0.5003659725189209, 0.05411311611533165, 0.8626310229301453, -0.05072883144021034]","[-176.13668823242188, 60.314002990722656, 175.0662078857422]"
52,1661265471896487461,1661265471808630220,4013.62,"[-0.5002315640449524, 0.05411304160952568, 0.8627198338508606, -0.05054406076669693]","[-176.1731414794922, 60.29513931274414, 175.044921875]"
